month;year;kwp_1_10;kwp_11_30;kwp_31_40;kwp_40_up;
03;2004;57.40;57.40;54.60;54.60;
04;2004;57.40;57.40;54.60;54.60;
05;2004;57.40;57.40;54.60;54.60;
06;2004;57.40;57.40;54.60;54.60;
07;2004;57.40;57.40;54.60;54.60;
08;2004;57.40;57.40;54.60;54.60;
09;2004;57.40;57.40;54.60;54.60;
10;2004;57.40;57.40;54.60;54.60;
11;2004;57.40;57.40;54.60;54.60;
12;2004;57.40;57.40;54.60;54.60;
01;2005;54.53;54.53;51.87;51.87;
02;2005;54.53;54.53;51.87;51.87;
03;2005;54.53;54.53;51.87;51.87;
04;2005;54.53;54.53;51.87;51.87;
05;2005;54.53;54.53;51.87;51.87;
06;2005;54.53;54.53;51.87;51.87;
07;2005;54.53;54.53;51.87;51.87;
08;2005;54.53;54.53;51.87;51.87;
09;2005;54.53;54.53;51.87;51.87;
10;2005;54.53;54.53;51.87;51.87;
11;2005;54.53;54.53;51.87;51.87;
12;2005;54.53;54.53;51.87;51.87;
01;2006;51.80;51.80;49.28;49.28;
02;2006;51.80;51.80;49.28;49.28;
03;2006;51.80;51.80;49.28;49.28;
04;2006;51.80;51.80;49.28;49.28;
05;2006;51.80;51.80;49.28;49.28;
06;2006;51.80;51.80;49.28;49.28;
07;2006;51.80;51.80;49.28;49.28;
08;2006;51.80;51.80;49.28;49.28;
09;2006;51.80;51.80;49.28;49.28;
10;2006;51.80;51.80;49.28;49.28;
11;2006;51.80;51.80;49.28;49.28;
12;2006;51.80;51.80;49.28;49.28;
01;2007;49.21;49.21;46.82;46.82;
02;2007;49.21;49.21;46.82;46.82;
03;2007;49.21;49.21;46.82;46.82;
04;2007;49.21;49.21;46.82;46.82;
05;2007;49.21;49.21;46.82;46.82;
06;2007;49.21;49.21;46.82;46.82;
07;2007;49.21;49.21;46.82;46.82;
08;2007;49.21;49.21;46.82;46.82;
09;2007;49.21;49.21;46.82;46.82;
10;2007;49.21;49.21;46.82;46.82;
11;2007;49.21;49.21;46.82;46.82;
12;2007;49.21;49.21;46.82;46.82;
01;2008;46.75;46.75;44.48;44.48;
02;2008;46.75;46.75;44.48;44.48;
03;2008;46.75;46.75;44.48;44.48;
04;2008;46.75;46.75;44.48;44.48;
05;2008;46.75;46.75;44.48;44.48;
06;2008;46.75;46.75;44.48;44.48;
07;2008;46.75;46.75;44.48;44.48;
08;2008;46.75;46.75;44.48;44.48;
09;2008;46.75;46.75;44.48;44.48;
10;2008;46.75;46.75;44.48;44.48;
11;2008;46.75;46.75;44.48;44.48;
12;2008;46.75;46.75;44.48;44.48;
01;2009;43.01;43.01;40.91;40.91;
02;2009;43.01;43.01;40.91;40.91;
03;2009;43.01;43.01;40.91;40.91;
04;2009;43.01;43.01;40.91;40.91;
05;2009;43.01;43.01;40.91;40.91;
06;2009;43.01;43.01;40.91;40.91;
07;2009;43.01;43.01;40.91;40.91;
08;2009;43.01;43.01;40.91;40.91;
09;2009;43.01;43.01;40.91;40.91;
10;2009;43.01;43.01;40.91;40.91;
11;2009;43.01;43.01;40.91;40.91;
12;2009;43.01;43.01;40.91;40.91;
01;2010;39.14;39.14;37.23;37.23;
02;2010;39.14;39.14;37.23;37.23;
03;2010;39.14;39.14;37.23;37.23;
04;2010;39.14;39.14;37.23;37.23;
05;2010;39.14;39.14;37.23;37.23;
06;2010;39.14;39.14;37.23;37.23;
07;2010;34.05;34.05;32.39;32.39;
08;2010;34.05;34.05;32.39;32.39;
09;2010;34.05;34.05;32.39;32.39;
10;2010;33.03;33.03;31.42;31.42;
11;2010;33.03;33.03;31.42;31.42;
12;2010;33.03;33.03;31.42;31.42;
01;2011;28.74;28.74;27.33;27.33;
02;2011;28.74;28.74;27.33;27.33;
03;2011;28.74;28.74;27.33;27.33;
04;2011;28.74;28.74;27.33;27.33;
05;2011;28.74;28.74;27.33;27.33;
06;2011;28.74;28.74;27.33;27.33;
07;2011;28.74;28.74;27.33;27.33;
08;2011;28.74;28.74;27.33;27.33;
09;2011;28.74;28.74;27.33;27.33;
10;2011;28.74;28.74;27.33;27.33;
11;2011;28.74;28.74;27.33;27.33;
12;2011;28.74;28.74;27.33;27.33;
01;2012;24.43;24.43;23.23;23.23;
02;2012;24.43;24.43;23.23;23.23;
03;2012;24.43;24.43;23.23;23.23;
04;2012;19.50;18.50;18.50;16.50;
05;2012;19.31;18.32;18.32;16.34;
06;2012;19.11;18.13;18.13;16.17;
07;2012;18.92;17.95;17.95;16.01;
08;2012;18.73;17.77;17.77;15.85;
09;2012;18.54;17.59;17.59;15.69;
10;2012;18.36;17.42;17.42;15.53;
11;2012;17.90;16.98;16.98;15.15;
12;2012;17.45;16.56;16.56;14.77;
01;2013;17.02;16.14;16.14;14.40;
02;2013;16.64;15.79;15.79;14.08;
03;2013;16.28;15.44;15.44;13.77;
04;2013;15.92;15.10;15.10;13.47;
05;2013;15.63;14.83;14.83;13.23;
06;2013;15.35;14.56;14.56;12.99;
07;2013;15.07;14.30;14.30;12.75;
08;2013;14.80;14.04;14.04;12.52;
09;2013;14.54;13.79;13.79;12.30;
10;2013;14.27;13.54;13.54;12.08;
11;2013;14.07;13.35;13.35;11.91;
12;2013;13.88;13.17;13.17;11.74;
01;2014;13.68;12.98;12.98;11.58;
02;2014;13.55;12.85;12.85;11.46;
03;2014;13.41;12.72;12.72;11.35;
04;2014;13.28;12.60;12.60;11.23;
05;2014;13.14;12.47;12.47;11.12;
06;2014;13.01;12.34;12.34;11.01;
07;2014;12.88;12.22;12.22;10.90;
08;2014;12.75;12.40;12.40;11.09;
09;2014;12.69;12.34;12.34;11.03;
10;2014;12.65;12.31;12.31;11.01;
11;2014;12.62;12.28;12.28;10.98;
12;2014;12.59;12.25;12.25;10.95;
01;2015;12.56;12.22;12.22;10.92;
02;2015;12.53;12.18;12.18;10.90;
03;2015;12.50;12.15;12.15;10.87;
04;2015;12.47;12.12;12.12;10.84;
05;2015;12.43;12.09;12.09;10.82;
06;2015;12.40;12.06;12.06;10.79;
07;2015;12.37;12.03;12.03;10.76;
08;2015;12.34;12.00;12.00;10.73;
09;2015;12.31;11.97;11.97;10.71;
10;2015;12.31;11.97;11.97;10.71;
11;2015;12.31;11.97;11.97;10.71;
12;2015;12.31;11.97;11.97;10.71;
01;2016;12.28;11.94;11.94;10.68;
02;2016;12.25;11.91;11.91;10.66;
03;2016;12.22;11.88;11.88;10.63;
04;2016;12.19;11.85;11.85;10.60;
05;2016;12.16;11.82;11.82;10.58;
06;2016;12.13;11.79;11.79;10.55;
07;2016;12.10;11.76;11.76;10.52;
08;2016;12.07;11.73;11.73;10.50;
09;2016;12.04;11.70;11.70;10.47;
10;2016;12.01;11.67;11.67;10.45;
11;2016;11.98;11.64;11.64;10.42;
12;2016;11.95;11.62;11.62;10.39;
01;2017;11.92;11.59;11.59;10.37;
02;2017;11.89;11.56;11.56;10.34;
03;2017;11.86;11.53;11.53;10.32;
04;2017;11.83;11.50;11.50;10.29;
05;2017;11.80;11.47;11.47;10.26;
06;2017;11.77;11.44;11.44;10.24;
07;2017;11.74;11.41;11.41;10.21;
08;2017;11.71;11.39;11.39;10.19;
09;2017;11.68;11.36;11.36;10.16;
10;2017;11.65;11.33;11.33;10.14;
11;2017;11.62;11.30;11.30;10.11;
12;2017;11.59;11.27;11.27;10.09;
01;2018;11.56;11.24;11.24;10.06;
02;2018;11.53;11.22;11.22;10.04;
03;2018;11.51;11.19;11.19;10.01;
04;2018;11.48;11.16;11.16;9.99;
05;2018;11.45;11.13;11.13;9.96;
06;2018;11.42;11.10;11.10;9.94;
07;2018;11.39;11.08;11.08;9.91;
08;2018;11.36;11.05;11.05;9.89;
09;2018;11.33;11.02;11.02;9.86;
10;2018;11.31;10.99;10.99;9.84;
11;2018;11.28;10.97;10.97;9.81;
12;2018;11.25;10.94;10.94;9.79;
01;2019;11.22;10.91;10.91;9.76;
02;2019;11.19;10.88;10.88;9.74;
03;2019;11.17;10.86;10.86;9.71;
04;2019;11.14;10.83;10.83;9.69;
05;2019;11.11;10.80;10.80;9.67;
06;2019;11.08;10.78;10.78;9.64;
07;2019;11.05;10.75;10.75;9.62;
08;2019;11.03;10.72;10.72;9.59;
09;2019;11.00;10.69;10.69;9.57;
10;2019;10.97;10.67;10.67;9.55;
11;2019;10.94;10.64;10.64;9.52;
12;2019;10.92;10.61;10.61;9.50;
01;2020;10.89;10.59;10.59;9.47;
02;2020;10.86;10.56;10.56;9.45;
03;2020;10.83;10.54;10.54;9.43;
04;2020;10.81;10.51;10.51;9.40;
05;2020;10.78;10.48;10.48;9.38;
06;2020;10.75;10.46;10.46;9.36;
07;2020;10.73;10.43;10.43;9.33;
08;2020;10.70;10.40;10.40;9.31;
09;2020;10.67;10.38;10.38;9.29;
10;2020;10.65;10.35;10.35;9.26;
11;2020;10.62;10.33;10.33;9.24;
12;2020;10.59;10.30;10.30;9.22;
01;2021;10.57;10.27;10.27;9.19;
02;2021;10.54;10.25;10.25;9.17;
03;2021;10.51;10.22;10.22;9.15;
04;2021;10.49;10.20;10.20;9.12;
05;2021;10.46;10.17;10.17;9.10;
06;2021;10.44;10.15;10.15;9.08;
07;2021;10.41;10.12;10.12;9.06;
08;2021;10.38;10.10;10.10;9.03;
09;2021;10.36;10.07;10.07;9.01;
10;2021;10.33;10.05;10.05;8.99;
11;2021;10.31;10.02;10.02;8.97;
12;2021;10.28;10.00;10.00;8.94;
01;2022;10.25;9.97;9.97;8.92;
02;2022;10.23;9.95;9.95;8.90;
03;2022;10.20;9.92;9.92;8.88;
04;2022;10.18;9.90;9.90;8.85;
05;2022;10.15;9.87;9.87;8.83;
06;2022;10.13;9.85;9.85;8.81;
07;2022;10.10;9.82;9.82;8.79;
08;2022;10.08;9.80;9.80;8.77;
09;2022;10.05;9.77;9.77;8.74;
10;2022;10.03;9.75;9.75;8.72;
11;2022;10.00;9.72;9.72;8.70;
12;2022;9.98;9.70;9.70;8.68;
01;2023;9.95;9.68;9.68;8.66;
02;2023;9.93;9.65;9.65;8.64;
03;2023;9.90;9.63;9.63;8.61;
04;2023;9.88;9.60;9.60;8.59;
05;2023;9.85;9.58;9.58;8.57;
06;2023;9.83;9.56;9.56;8.55;
07;2023;9.80;9.53;9.53;8.53;
08;2023;9.78;9.51;9.51;8.51;
09;2023;9.75;9.48;9.48;8.49;
10;2023;9.73;9.46;9.46;8.46;
11;2023;9.70;9.44;9.44;8.44;
12;2023;9.68;9.41;9.41;8.42;
01;2024;9.66;9.39;9.39;8.40;
02;2024;9.63;9.37;9.37;8.38;
03;2024;9.61;9.34;9.34;8.36;
04;2024;9.58;9.32;9.32;8.34;
05;2024;9.56;9.30;9.30;8.32;
06;2024;9.54;9.27;9.27;8.30;
07;2024;9.51;9.25;9.25;8.28;
08;2024;9.49;9.23;9.23;8.26;
09;2024;9.46;9.20;9.20;8.23;
10;2024;9.44;9.18;9.18;8.21;
11;2024;9.42;9.16;9.16;8.19;
12;2024;9.39;9.13;9.13;8.17;
01;2025;9.37;9.11;9.11;8.15;
02;2025;9.35;9.09;9.09;8.13;
03;2025;9.32;9.07;9.07;8.11;
04;2025;9.30;9.04;9.04;8.09;
05;2025;9.28;9.02;9.02;8.07;
06;2025;9.25;9.00;9.00;8.05;
07;2025;9.23;8.98;8.98;8.03;
08;2025;9.21;8.95;8.95;8.01;
09;2025;9.18;8.93;8.93;7.99;
10;2025;9.16;8.91;8.91;7.97;
11;2025;9.14;8.89;8.89;7.95;
12;2025;9.12;8.86;8.86;7.93;
01;2026;9.09;8.84;8.84;7.91;
02;2026;9.07;8.82;8.82;7.89;
03;2026;9.05;8.80;8.80;7.87;
04;2026;9.03;8.78;8.78;7.85;
05;2026;9.00;8.75;8.75;7.83;
06;2026;8.98;8.73;8.73;7.81;
07;2026;8.96;8.71;8.71;7.79;
08;2026;8.94;8.69;8.69;7.77;
09;2026;8.91;8.67;8.67;7.75;
10;2026;8.89;8.65;8.65;7.74;
11;2026;8.87;8.62;8.62;7.72;
12;2026;8.85;8.60;8.60;7.70;
01;2027;8.82;8.58;8.58;7.68;
02;2027;8.80;8.56;8.56;7.66;
03;2027;8.78;8.54;8.54;7.64;
04;2027;8.76;8.52;8.52;7.62;
05;2027;8.74;8.49;8.49;7.60;
06;2027;8.71;8.47;8.47;7.58;
07;2027;8.69;8.45;8.45;7.56;
08;2027;8.67;8.43;8.43;7.54;
09;2027;8.65;8.41;8.41;7.53;
10;2027;8.63;8.39;8.39;7.51;
11;2027;8.61;8.37;8.37;7.49;
12;2027;8.58;8.35;8.35;7.47;
01;2028;8.56;8.33;8.33;7.45;
02;2028;8.54;8.31;8.31;7.43;
03;2028;8.52;8.28;8.28;7.41;
04;2028;8.50;8.26;8.26;7.39;
05;2028;8.48;8.24;8.24;7.38;
06;2028;8.46;8.22;8.22;7.36;
07;2028;8.44;8.20;8.20;7.34;
08;2028;8.41;8.18;8.18;7.32;
09;2028;8.39;8.16;8.16;7.30;
10;2028;8.37;8.14;8.14;7.28;
11;2028;8.35;8.12;8.12;7.27;
12;2028;8.33;8.10;8.10;7.25;
01;2029;8.31;8.08;8.08;7.23;
02;2029;8.29;8.06;8.06;7.21;
03;2029;8.27;8.04;8.04;7.19;
04;2029;8.25;8.02;8.02;7.18;
05;2029;8.23;8.00;8.00;7.16;
06;2029;8.21;7.98;7.98;7.14;
07;2029;8.19;7.96;7.96;7.12;
08;2029;8.17;7.94;7.94;7.10;
09;2029;8.14;7.92;7.92;7.09;
10;2029;8.12;7.90;7.90;7.07;
11;2029;8.10;7.88;7.88;7.05;
12;2029;8.08;7.86;7.86;7.03;
01;2030;8.06;7.84;7.84;7.02;
02;2030;8.04;7.82;7.82;7.00;
03;2030;8.02;7.80;7.80;6.98;
04;2030;8.00;7.78;7.78;6.96;
05;2030;7.98;7.76;7.76;6.95;
06;2030;7.96;7.74;7.74;6.93;
07;2030;7.94;7.72;7.72;6.91;
08;2030;7.92;7.70;7.70;6.89;
09;2030;7.90;7.69;7.69;6.88;
10;2030;7.88;7.67;7.67;6.86;
11;2030;7.86;7.65;7.65;6.84;
12;2030;7.84;7.63;7.63;6.83;
01;2031;7.83;7.61;7.61;6.81;
02;2031;7.81;7.59;7.59;6.79;
03;2031;7.79;7.57;7.57;6.77;
04;2031;7.77;7.55;7.55;6.76;
05;2031;7.75;7.53;7.53;6.74;
06;2031;7.73;7.51;7.51;6.72;
07;2031;7.71;7.50;7.50;6.71;
08;2031;7.69;7.48;7.48;6.69;
09;2031;7.67;7.46;7.46;6.67;
10;2031;7.65;7.44;7.44;6.66;
11;2031;7.63;7.42;7.42;6.64;
12;2031;7.61;7.40;7.40;6.62;
01;2032;7.59;7.38;7.38;6.61;
02;2032;7.57;7.37;7.37;6.59;
03;2032;7.56;7.35;7.35;6.57;
04;2032;7.54;7.33;7.33;6.56;
05;2032;7.52;7.31;7.31;6.54;
06;2032;7.50;7.29;7.29;6.52;
07;2032;7.48;7.27;7.27;6.51;
08;2032;7.46;7.26;7.26;6.49;
09;2032;7.44;7.24;7.24;6.48;
10;2032;7.42;7.22;7.22;6.46;
11;2032;7.41;7.20;7.20;6.44;
12;2032;7.39;7.18;7.18;6.43;
01;2033;7.37;7.17;7.17;6.41;
02;2033;7.35;7.15;7.15;6.40;
03;2033;7.33;7.13;7.13;6.38;
04;2033;7.31;7.11;7.11;6.36;
05;2033;7.30;7.09;7.09;6.35;
06;2033;7.28;7.08;7.08;6.33;
07;2033;7.26;7.06;7.06;6.32;
08;2033;7.24;7.04;7.04;6.30;
09;2033;7.22;7.02;7.02;6.28;
10;2033;7.20;7.01;7.01;6.27;
11;2033;7.19;6.99;6.99;6.25;
12;2033;7.17;6.97;6.97;6.24;
01;2034;7.15;6.95;6.95;6.22;
02;2034;7.13;6.94;6.94;6.21;
03;2034;7.12;6.92;6.92;6.19;
04;2034;7.10;6.90;6.90;6.17;
05;2034;7.08;6.88;6.88;6.16;
06;2034;7.06;6.87;6.87;6.14;
07;2034;7.04;6.85;6.85;6.13;
08;2034;7.03;6.83;6.83;6.11;
09;2034;7.01;6.82;6.82;6.10;
10;2034;6.99;6.80;6.80;6.08;
11;2034;6.97;6.78;6.78;6.07;
12;2034;6.96;6.76;6.76;6.05;
01;2035;6.94;6.75;6.75;6.04;
02;2035;6.92;6.73;6.73;6.02;
03;2035;6.90;6.71;6.71;6.01;
04;2035;6.89;6.70;6.70;5.99;
05;2035;6.87;6.68;6.68;5.98;
06;2035;6.85;6.66;6.66;5.96;
07;2035;6.84;6.65;6.65;5.95;
08;2035;6.82;6.63;6.63;5.93;
09;2035;6.80;6.61;6.61;5.92;
10;2035;6.78;6.60;6.60;5.90;
11;2035;6.77;6.58;6.58;5.89;
12;2035;6.75;6.56;6.56;5.87;
01;2036;6.73;6.55;6.55;5.86;
02;2036;6.72;6.53;6.53;5.84;
03;2036;6.70;6.52;6.52;5.83;
04;2036;6.68;6.50;6.50;5.81;
05;2036;6.67;6.48;6.48;5.80;
06;2036;6.65;6.47;6.47;5.79;
07;2036;6.63;6.45;6.45;5.77;
08;2036;6.62;6.43;6.43;5.76;
09;2036;6.60;6.42;6.42;5.74;
10;2036;6.58;6.40;6.40;5.73;
11;2036;6.57;6.39;6.39;5.71;
12;2036;6.55;6.37;6.37;5.70;
01;2037;6.53;6.35;6.35;5.69;
02;2037;6.52;6.34;6.34;5.67;
03;2037;6.50;6.32;6.32;5.66;
04;2037;6.49;6.31;6.31;5.64;
05;2037;6.47;6.29;6.29;5.63;
06;2037;6.45;6.28;6.28;5.61;
07;2037;6.44;6.26;6.26;5.60;
08;2037;6.42;6.24;6.24;5.59;
09;2037;6.41;6.23;6.23;5.57;
10;2037;6.39;6.21;6.21;5.56;
11;2037;6.37;6.20;6.20;5.54;
12;2037;6.36;6.18;6.18;5.53;
01;2038;6.34;6.17;6.17;5.52;
02;2038;6.33;6.15;6.15;5.50;
03;2038;6.31;6.14;6.14;5.49;
04;2038;6.29;6.12;6.12;5.48;
05;2038;6.28;6.10;6.10;5.46;
06;2038;6.26;6.09;6.09;5.45;
07;2038;6.25;6.07;6.07;5.43;
08;2038;6.23;6.06;6.06;5.42;
09;2038;6.22;6.04;6.04;5.41;
10;2038;6.20;6.03;6.03;5.39;
11;2038;6.18;6.01;6.01;5.38;
12;2038;6.17;6.00;6.00;5.37;
01;2039;6.15;5.98;5.98;5.35;
02;2039;6.14;5.97;5.97;5.34;
03;2039;6.12;5.95;5.95;5.33;
04;2039;6.11;5.94;5.94;5.31;
05;2039;6.09;5.92;5.92;5.30;
06;2039;6.08;5.91;5.91;5.29;
07;2039;6.06;5.89;5.89;5.27;
08;2039;6.05;5.88;5.88;5.26;
09;2039;6.03;5.87;5.87;5.25;
10;2039;6.02;5.85;5.85;5.23;
11;2039;6.00;5.84;5.84;5.22;
12;2039;5.99;5.82;5.82;5.21;
01;2040;5.97;5.81;5.81;5.20;
02;2040;5.96;5.79;5.79;5.18;
03;2040;5.94;5.78;5.78;5.17;
04;2040;5.93;5.76;5.76;5.16;
05;2040;5.91;5.75;5.75;5.14;
06;2040;5.90;5.73;5.73;5.13;
07;2040;5.88;5.72;5.72;5.12;
08;2040;5.87;5.71;5.71;5.11;
09;2040;5.85;5.69;5.69;5.09;
10;2040;5.84;5.68;5.68;5.08;
11;2040;5.82;5.66;5.66;5.07;
12;2040;5.81;5.65;5.65;5.05;
01;2041;5.79;5.63;5.63;5.04;
02;2041;5.78;5.62;5.62;5.03;
03;2041;5.77;5.61;5.61;5.02;
04;2041;5.75;5.59;5.59;5.00;
05;2041;5.74;5.58;5.58;4.99;
06;2041;5.72;5.56;5.56;4.98;
07;2041;5.71;5.55;5.55;4.97;
08;2041;5.69;5.54;5.54;4.95;
09;2041;5.68;5.52;5.52;4.94;
10;2041;5.67;5.51;5.51;4.93;
11;2041;5.65;5.50;5.50;4.92;
12;2041;5.64;5.48;5.48;4.90;
01;2042;5.62;5.47;5.47;4.89;
02;2042;5.61;5.45;5.45;4.88;
03;2042;5.60;5.44;5.44;4.87;
04;2042;5.58;5.43;5.43;4.86;
05;2042;5.57;5.41;5.41;4.84;
06;2042;5.55;5.40;5.40;4.83;
07;2042;5.54;5.39;5.39;4.82;
08;2042;5.53;5.37;5.37;4.81;
09;2042;5.51;5.36;5.36;4.80;
10;2042;5.50;5.35;5.35;4.78;
11;2042;5.48;5.33;5.33;4.77;
12;2042;5.47;5.32;5.32;4.76;
01;2043;5.46;5.31;5.31;4.75;
02;2043;5.44;5.29;5.29;4.74;
03;2043;5.43;5.28;5.28;4.72;
04;2043;5.42;5.27;5.27;4.71;
05;2043;5.40;5.25;5.25;4.70;
06;2043;5.39;5.24;5.24;4.69;
07;2043;5.38;5.23;5.23;4.68;
08;2043;5.36;5.21;5.21;4.67;
09;2043;5.35;5.20;5.20;4.65;
10;2043;5.34;5.19;5.19;4.64;
11;2043;5.32;5.18;5.18;4.63;
12;2043;5.31;5.16;5.16;4.62;
01;2044;5.30;5.15;5.15;4.61;
02;2044;5.28;5.14;5.14;4.60;
03;2044;5.27;5.12;5.12;4.58;
04;2044;5.26;5.11;5.11;4.57;
05;2044;5.24;5.10;5.10;4.56;
06;2044;5.23;5.09;5.09;4.55;
07;2044;5.22;5.07;5.07;4.54;
08;2044;5.20;5.06;5.06;4.53;
09;2044;5.19;5.05;5.05;4.52;
10;2044;5.18;5.03;5.03;4.50;
11;2044;5.16;5.02;5.02;4.49;
12;2044;5.15;5.01;5.01;4.48;
01;2045;5.14;5.00;5.00;4.47;
02;2045;5.13;4.98;4.98;4.46;
03;2045;5.11;4.97;4.97;4.45;
04;2045;5.10;4.96;4.96;4.44;
05;2045;5.09;4.95;4.95;4.43;
06;2045;5.07;4.93;4.93;4.42;
07;2045;5.06;4.92;4.92;4.40;
08;2045;5.05;4.91;4.91;4.39;
09;2045;5.04;4.90;4.90;4.38;
10;2045;5.02;4.89;4.89;4.37;
11;2045;5.01;4.87;4.87;4.36;
12;2045;5.00;4.86;4.86;4.35;
